6,4,4,4,4,4,4,4,4,0,0,0,0,3,0,2,0,0,0,6,4,4,4,4,0,7,4,4,4,4,0
3,1,1,0,1,1,1,1,1,2,0,0,0,3,0,2,0,0,0,3,1,1,1,0,2,3,1,1,1,1,2
3,1,6,5,0,1,6,0,1,2,0,0,0,3,0,2,0,0,0,3,1,6,0,1,7,0,1,6,0,1,2
3,1,2,0,3,1,2,3,1,2,0,0,0,3,0,2,0,0,0,3,1,2,3,1,1,1,1,2,3,1,2
3,1,2,0,3,1,2,3,1,2,0,0,0,3,0,2,0,0,0,3,1,2,0,5,5,0,1,2,3,1,2
3,1,7,4,0,1,7,0,1,7,4,4,4,0,0,7,4,4,4,0,1,7,4,4,4,0,1,2,3,1,2
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2
3,1,6,5,0,1,6,5,5,5,5,5,5,0,1,6,5,5,5,0,1,6,0,1,6,5,5,0,3,1,2
3,1,2,0,3,1,7,4,4,4,4,4,4,0,1,7,4,4,4,0,1,2,3,1,7,4,4,0,3,1,2
3,1,2,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,1,2
3,1,2,0,3,1,6,0,1,6,5,5,5,0,1,6,0,1,6,0,1,2,3,1,6,0,1,2,3,1,2
3,1,7,4,0,1,2,3,1,7,4,4,4,0,1,2,3,1,2,3,1,7,0,1,2,3,1,7,0,1,2
3,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,3,1,2,3,1,1,1,1,2,3,1,1,1,1,2
3,5,5,5,0,1,2,0,5,5,0,1,6,5,5,0,3,1,2,0,5,5,0,1,2,0,5,5,0,1,2
3,4,4,4,0,1,2,0,4,4,0,1,2,0,4,4,0,1,2,0,4,4,0,1,2,0,4,4,0,1,2
3,1,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,2
3,1,6,5,0,1,2,3,1,6,0,1,2,3,1,6,0,1,2,3,1,6,0,1,2,3,1,6,0,1,2
3,1,2,0,3,1,7,0,1,2,3,1,7,0,1,2,3,1,7,0,1,2,3,1,7,0,1,2,3,1,2
3,1,2,0,3,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,2,3,1,2
3,1,2,0,3,1,6,5,5,0,0,5,5,0,1,2,0,5,5,0,1,2,3,1,6,5,5,0,3,1,2
3,1,2,0,3,1,7,4,4,0,0,4,4,0,1,7,4,4,4,0,1,2,3,1,7,4,4,0,3,1,2
3,1,2,0,3,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,1,2
3,1,2,0,3,1,6,0,1,2,3,1,0,0,0,0,0,1,6,0,1,2,3,1,6,0,1,2,3,1,2
3,1,7,4,0,1,2,3,1,7,0,1,0,0,0,0,0,1,2,3,1,7,0,1,2,3,1,7,0,1,2
3,1,1,1,1,1,2,3,1,1,1,1,0,0,0,0,0,1,2,3,1,1,1,1,2,3,1,1,1,1,2
0,5,5,5,0,1,2,0,5,5,0,1,0,0,0,0,0,1,2,0,5,5,0,1,2,0,5,5,0,1,2
0,4,4,4,0,1,2,0,4,4,0,1,0,0,0,0,0,1,2,0,4,4,0,1,2,0,4,4,0,1,2
3,1,1,1,1,1,2,3,1,1,1,1,0,0,0,0,0,1,2,3,1,1,1,1,2,3,1,1,1,1,2
3,1,6,5,0,1,2,3,1,6,0,1,0,0,0,0,0,1,2,3,1,6,0,1,2,3,1,6,0,1,2
3,1,2,0,3,1,7,0,1,2,3,1,0,0,0,0,0,1,7,0,1,2,3,1,7,0,1,2,3,1,2
